otu,mda_median,iqr25,iqr75,phylum,family,genus,study
Otu3353,0.003166666666666667,0,0.00578051948051948,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu1717,0.003139393939393939,0,0.0063037878787878775,Bacteroidetes,Prevotellaceae,Prevotella,weir
Otu1810,0.003139393939393939,0,0.006291919191919191,Firmicutes,Clostridiales,Clostridiales,weir
Otu2238,0.003139393939393939,0,0.005733189033189032,Firmicutes,Clostridiales,Clostridiales,weir
Otu2979,0.003139393939393939,0,0.006055555555555555,Firmicutes,Firmicutes,Firmicutes,weir
Otu0081,0.0031000000000000003,0,0.005229437229437228,Actinobacteria,Bifidobacteriaceae,Bifidobacterium,weir
Otu0218,0.0031000000000000003,0,0.005831818181818181,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu0446,0.0031000000000000003,0,0.00538560606060606,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu2137,0.0031000000000000003,0,0.005171717171717169,Firmicutes,Clostridiales,Clostridiales,weir
Otu0396,0.0030888888888888884,0,0.006017857142857143,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu0413,0.003072727272727272,0,0.005898737373737371,Bacteroidetes,Bacteroidales,Bacteroidales,weir
Otu2256,0.003072727272727272,0,0.006496969696969696,Firmicutes,Clostridiales,Clostridiales,weir
Otu2299,0.003072727272727272,0,0.0060606060606060615,Firmicutes,Ruminococcaceae,Ruminococcaceae,weir
Otu2637,0.003072727272727272,0,0.0065545454545454535,Firmicutes,Ruminococcaceae,Ruminococcaceae,weir
Otu3262,0.003072727272727272,0,0.005171717171717169,Firmicutes,Lachnospiraceae,Blautia,weir
Otu0140,0.003,0,0.005727272727272727,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu0214,0.003,0,0.004863636363636364,Verrucomicrobia,Verrucomicrobiaceae,Akkermansia,weir
Otu0255,0.003,0,0.005689935064935064,Firmicutes,Lachnospiraceae,Roseburia,weir
