otu,mda_median,iqr25,iqr75,study,rank
Parabacteroides,0.0817462925962926,0.0817462925962926,0.0817462925962926,geng,28
Faecalibacterium,0.0813232323232323,0.0813232323232323,0.0813232323232323,geng,29
Ralstonia,0.0769197802197802,0.0769197802197802,0.0769197802197802,geng,30
Enhydrobacter,0.0757484570984571,0.0757484570984571,0.0757484570984571,geng,31
Clostridium_sensu_stricto,0.0707512654012654,0.0707512654012654,0.0707512654012654,geng,32
NA.,0.0680792929292929,0.0680792929292929,0.0680792929292929,geng,33
Anoxybacillus,0.0673677211677212,0.0673677211677212,0.0673677211677212,geng,34
Fusobacterium,0.0668837995337995,0.0668837995337995,0.0668837995337995,geng,35
Anaerovorax,0.0668226773226773,0.0668226773226773,0.0668226773226773,geng,36
Coprococcus,0.0641202131202131,0.0641202131202131,0.0641202131202131,geng,37
Propionibacterium,0.0640733044733045,0.0640733044733045,0.0640733044733045,geng,38
Tepidimonas,0.0638102564102564,0.0638102564102564,0.0638102564102564,geng,39
Staphylococcus,0.063513431013431,0.063513431013431,0.063513431013431,geng,40
Herbaspirillum,0.0622545454545455,0.0622545454545455,0.0622545454545455,geng,41
Escherichia.Shigella,0.0585503496503496,0.0585503496503496,0.0585503496503496,geng,42
Brachybacterium,0.0572558441558442,0.0572558441558442,0.0572558441558442,geng,43
Janibacter,0.0566293151293151,0.0566293151293151,0.0566293151293151,geng,44
Clostridium_IV,0.0565183594183594,0.0565183594183594,0.0565183594183594,geng,45
Enterococcus,0.0562333333333333,0.0562333333333333,0.0562333333333333,geng,46
Megamonas,0.0520128038628039,0.0520128038628039,0.0520128038628039,geng,47
Deinococcus,0.0503617216117216,0.0503617216117216,0.0503617216117216,geng,48
Corynebacterium,0.0501122766122766,0.0501122766122766,0.0501122766122766,geng,49
Clostridium_XlVa,0.0495176767676768,0.0495176767676768,0.0495176767676768,geng,50
Aeromonas,0.0484697691197691,0.0484697691197691,0.0484697691197691,geng,51
Parasutterella,0.0470484848484848,0.0470484848484848,0.0470484848484848,geng,52
Ruminococcus,0.0447433066933067,0.0447433066933067,0.0447433066933067,geng,53
Citrobacter,0.0447105672105672,0.0447105672105672,0.0447105672105672,geng,54
Campylobacter,0.0408511599511599,0.0408511599511599,0.0408511599511599,geng,55
Granulicatella,0.0404700577200577,0.0404700577200577,0.0404700577200577,geng,56
Clostridium_XIX,0.0401436507936508,0.0401436507936508,0.0401436507936508,geng,57
Eggerthella,0.0387746031746032,0.0387746031746032,0.0387746031746032,geng,58
Haemophilus,0.0384494949494949,0.0384494949494949,0.0384494949494949,geng,59
Micrococcus,0.0381129537129537,0.0381129537129537,0.0381129537129537,geng,60
Collinsella,0.0372641358641359,0.0372641358641359,0.0372641358641359,geng,61
Barnesiella,0.0368081196581197,0.0368081196581197,0.0368081196581197,geng,62
Pyramidobacter,0.0348322344322344,0.0348322344322344,0.0348322344322344,geng,63
Rothia,0.0319744644244644,0.0319744644244644,0.0319744644244644,geng,64
Subdoligranulum,0.0296833333333333,0.0296833333333333,0.0296833333333333,geng,65
Paraprevotella,0.0296613997113997,0.0296613997113997,0.0296613997113997,geng,66
Butyricicoccus,0.0294435064935065,0.0294435064935065,0.0294435064935065,geng,67
Clostridium_XVIII,0.0282176434676435,0.0282176434676435,0.0282176434676435,geng,68
Aerococcus,0.0281242424242424,0.0281242424242424,0.0281242424242424,geng,69
Butyricimonas,0.0276117715617716,0.0276117715617716,0.0276117715617716,geng,70
Chryseobacterium,0.0275093795093795,0.0275093795093795,0.0275093795093795,geng,71
Meiothermus,0.0260951936951937,0.0260951936951937,0.0260951936951937,geng,72
Parvimonas,0.0259362193362193,0.0259362193362193,0.0259362193362193,geng,73
Eikenella,0.0253989898989899,0.0253989898989899,0.0253989898989899,geng,74
Leucobacter,0.0249672105672106,0.0249672105672106,0.0249672105672106,geng,75
Sutterella,0.0237328671328671,0.0237328671328671,0.0237328671328671,geng,76
Pelomonas,0.0229010101010101,0.0229010101010101,0.0229010101010101,geng,77
