"measure","study","high_N","high_Y","low_N","low_Y"
"Rhodobacteraceae_unclassified","flemer",1,0,102,37
"Rhodobacteraceae_unclassified","lu",3,7,17,13
"Rhodococcus","flemer",0,0,103,37
"Rhodococcus","lu",4,2,16,18
"Rhodocyclaceae_unclassified","flemer",0,0,103,37
"Rhodocyclaceae_unclassified","lu",1,1,19,19
"Rhodospirillaceae_unclassified","flemer",1,0,102,37
"Rhodospirillaceae_unclassified","lu",1,0,19,20
"Rhodospirillales_unclassified","flemer",2,0,101,37
"Rhodospirillales_unclassified","lu",1,0,19,20
"Roseburia","flemer",51,19,52,18
"Roseburia","lu",12,8,8,12
"Roseomonas","flemer",2,0,101,37
"Roseomonas","lu",1,3,19,17
"Rothia","flemer",28,20,75,17
"Rothia","lu",8,12,12,8
"Rubellimicrobium","flemer",1,0,102,37
"Rubellimicrobium","lu",0,2,20,18
"Ruminococcaceae_unclassified","flemer",48,22,55,15
"Ruminococcaceae_unclassified","lu",11,9,9,11
"Ruminococcus","flemer",47,23,56,14
"Ruminococcus","lu",9,10,11,10
"Ruminococcus2","flemer",46,23,57,14
"Ruminococcus2","lu",12,8,8,12
"Saccharofermentans","flemer",0,1,103,36
"Saccharofermentans","lu",2,3,18,17
"Schlegelella","flemer",0,1,103,36
"Schlegelella","lu",1,0,19,20
"Schwartzia","flemer",0,0,103,37
"Schwartzia","lu",3,2,17,18
"Sedimentibacter","flemer",0,1,103,36
"Sedimentibacter","lu",1,0,19,20
"Selenomonas","flemer",2,2,101,35
"Selenomonas","lu",0,5,20,15
"Serratia","flemer",0,0,103,37
"Serratia","lu",10,10,10,10
"Shewanella","flemer",46,24,57,13
"Shewanella","lu",7,9,13,11
"Slackia","flemer",32,11,71,26
"Slackia","lu",1,0,19,20
"Solobacterium","flemer",7,2,96,35
"Solobacterium","lu",6,6,14,14
"Sphingobacteriales_unclassified","flemer",0,0,103,37
"Sphingobacteriales_unclassified","lu",1,0,19,20
"Sphingobacterium","flemer",1,0,102,37
"Sphingobacterium","lu",10,10,10,10
"Sphingobium","flemer",1,0,102,37
"Sphingobium","lu",1,1,19,19
"Sphingomonadaceae_unclassified","flemer",0,0,103,37
"Sphingomonadaceae_unclassified","lu",7,6,13,14
"Sphingomonas","flemer",0,1,103,36
"Sphingomonas","lu",8,12,12,8
"Spirochaetales_unclassified","flemer",1,0,102,37
"Spirochaetales_unclassified","lu",1,1,19,19
"Spirosoma","flemer",0,0,103,37
"Spirosoma","lu",1,0,19,20
"Staphylococcaceae_unclassified","flemer",0,0,103,37
"Staphylococcaceae_unclassified","lu",0,1,20,19
"Staphylococcus","flemer",16,9,87,28
"Staphylococcus","lu",11,9,9,11
"Stenotrophomonas","flemer",2,1,101,36
"Stenotrophomonas","lu",11,9,9,11
"Streptococcaceae_unclassified","flemer",10,3,93,34
"Streptococcaceae_unclassified","lu",10,10,10,10
"Streptococcus","flemer",45,25,58,12
"Streptococcus","lu",9,11,11,9
"Succiniclasticum","flemer",2,3,101,34
"Succiniclasticum","lu",1,1,19,19
"Succinivibrio","flemer",6,0,97,37
"Succinivibrio","lu",5,7,15,13
"Sutterella","flemer",45,25,58,12
"Sutterella","lu",10,10,10,10
"Tepidimonas","flemer",5,1,98,36
"Tepidimonas","lu",2,3,18,17
"Tissierella","flemer",0,0,103,37
"Tissierella","lu",3,3,17,17
"Treponema","flemer",0,1,103,36
"Treponema","lu",4,8,16,12
"Trueperella","flemer",0,0,103,37
"Trueperella","lu",3,8,17,12
"Turicibacter","flemer",45,6,58,31
"Turicibacter","lu",2,7,18,13
"Vampirovibrio","flemer",2,0,101,37
"Vampirovibrio","lu",2,1,18,19
"Varibaculum","flemer",0,1,103,36
"Varibaculum","lu",0,1,20,19
"Variovorax","flemer",1,0,102,37
"Variovorax","lu",0,2,20,18
"Veillonella","flemer",43,26,60,11
"Veillonella","lu",10,10,10,10
"Veillonellaceae_unclassified","flemer",19,12,84,25
"Veillonellaceae_unclassified","lu",4,2,16,18
"Verrucomicrobia_unclassified","flemer",0,2,103,35
"Verrucomicrobia_unclassified","lu",1,1,19,19
"Victivallis","flemer",15,7,88,30
"Victivallis","lu",1,2,19,18
"Weissella","flemer",0,0,103,37
"Weissella","lu",4,3,16,17
"Xanthomonadaceae_unclassified","flemer",1,1,102,36
"Xanthomonadaceae_unclassified","lu",4,3,16,17
"Yersinia","flemer",0,0,103,37
"Yersinia","lu",9,11,11,9
